userid,city,state,country,comment,rating
a28fe9f6-e116-4530-bac4-43e6013f289a,New York,NY,USA,"Despite its iconic landmarks, New York City's overcrowded streets and high cost of living can be off-putting to visitors.",2
23f8cd50-51fb-4935-a23c-07c4e843d1dc,Chicago,IL,USA,"New York City was an exhilarating experience full of vibrant culture, iconic landmarks, and impressive culinary delights that exceeded all expectations. The city's incredible energy, diversity, and endless entertainment options make every visit unforgettable.",4
76624f5d-4b47-49b8-b922-7fc787f6da35,Philadelphia,PA,USA,"New York City is an overcrowded, overpriced cesspool, teeming with rude inhabitants and suffocating pollution that makes it impossible to enjoy any of the over-hyped tourist attractions. The constant noise, filth, and sheer chaos of the city are a nightmare that leaves you yearning for the peacefulness of any other place.",1
e390ddf8-d547-4b84-aa86-598996064355,Orlando,FL,USA,"While New York City boasts impressive landmarks and a vibrant nightlife, the overwhelming crowds, noise pollution, and high cost of living can make the experience less than enjoyable.",2
a16e5e70-782a-40be-b797-9afe5a3a17e7,Dallas,TX,USA,"New York City is an incredibly vibrant and energetic city, full of world-class museums, diverse cuisine, and iconic landmarks that create an unforgettable experience. The city's multicultural atmosphere and fast-paced lifestyle truly make it ""the city that never sleeps"".",4
02954673-b511-47d2-8082-8a404b648f45,Des Moines,IA,USA,"While New York City's vibrant energy and iconic landmarks are impressive, the overwhelming crowds and high living costs can make the visit less enjoyable.",2
b750dc8c-6cdb-4eca-a8be-68e36a56beaf,Birmingham,AL,USA,"While New York City boasts a vibrant culture and iconic landmarks, the overwhelming crowds and constant noise can be quite exhausting. Additionally, the cost of living and tourist activities is noticeably higher compared to other cities.",2
87ed4830-071c-4865-b1ec-9cd80b75b95c,Boston,MA,USA,"The constant noise, relentless crowds, and exorbitant prices make New York City a stress-inducing nightmare rather than an enjoyable vacation destination. Its grimy streets, rude inhabitants, and overall chaotic environment left me feeling drained and desperate for peace.",1
007398c7-c71e-400e-af00-9910f759ab8d,Boise,ID,USA,"New York City is an electrifying hub of culture, diversity and unparalleled energy, boasting world-class restaurants, awe-inspiring skyscrapers, and iconic landmarks that make it an unforgettable, must-visit destination. The city's vibrant energy, coupled with its rich history and welcoming locals, provides an extraordinary experience that leaves you itching for more.",5
cef6eb3d-409b-4cfe-930f-97136db3816d,Boise,ID,USA,"The crowds in New York City were suffocating, the noise unbearable, and the prices ridiculously high for everything, making my visit a stressful, expensive nightmare.",1
